input,input_size,encoder,level,bias,compressed_size
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,5,1.0,4071879
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,5,0.5,3374708
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,5,0.5,3377004
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,5,0.05,3033272
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,5,0.05,3032048
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,6,1.0,4034481
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,6,1.0,4033545
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,6,0.5,3336014
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,6,0.5,3337259
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,6,0.05,3000802
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,6,0.05,3000300
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,7,1.0,3976904
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,7,1.0,3976904
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,7,0.5,3244850
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,7,0.5,3237182
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,7,0.05,2889257
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,7,0.05,2890707
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,8,1.0,3965724
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,8,1.0,3965724
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,8,0.5,3228044
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,8,0.5,3219327
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,8,0.05,2868549
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,8,0.05,2869656
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,9,1.0,3955949
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,9,1.0,3955992
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,9,0.5,3229647
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,9,0.5,3222336
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,9,0.05,2844741
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,9,0.05,2848884
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,10,1.0,3942755
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,10,1.0,3942798
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,10,0.5,3191471
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,10,0.5,3183530
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,10,0.05,2794269
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,10,0.05,2798686
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,cpp,0,1.0,4784967
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,go,0,1.0,4786996
"/tmp/skanda-public-corpus-silesia/corpora/silesia/nci",33553445,cpp,0,0.5,3268821
